t      	v      	nai    	nass   	ki     	kss    	cai    	cass   	cansr  	cajsr  	Jrel   	CaMKt  	Jup    	Jtr    	Jdiff  	JdiffNa	JdiffK 	Jleak  	INa    	INaL   	Ito    	ICaL   	ICaNa  	ICaK   	IKr    	IKs    	IK1    	INaCa_i	INaCa_ss	INaCa  	INaK   	IKb    	INab   	IpCa   	ICab   	Ist    	dt     	APD    
1.538017e+00      	27.8557	7.21872	7.21482	144.436	144.434	8.46542e-05	9.24644e-05	1.59026	1.54264	0.0497364	0.0119935	2.79233e-05	0.000475196	3.71582e-05	-0.00194994	-0.000650675	0.000417442	-17.1619	-0.182877	0.134602	-1.04077	-0.182153	0.175508	0.191549	0.000200673	0.000173857	0.0124057	0.00338731	0.015793	0.186352	0.233515	-0.00246076	7.23969e-05	-0.000878926	0      	0.005  	272.099
1.588017e+00      	28.5776	7.21876	7.21494	144.436	144.434	8.46542e-05	9.68425e-05	1.59026	1.54147	0.0647307	0.0119932	2.85064e-05	0.000486552	5.85007e-05	-0.00191213	-0.000643653	0.000417442	-12.0873	-0.180573	0.163749	-1.1726	-0.208536	0.207707	0.189078	0.000231987	0.00016175	0.013396	0.00384267	0.0172387	0.187164	0.238126	-0.00240904	7.23968e-05	-0.000846844	0      	0.005  	272.099
1.638017e+00      	29.156 	7.21878	7.21506	144.436	144.434	8.46545e-05	0.00010238	1.59025	1.53998	0.0812446	0.0119929	2.92425e-05	0.00050109	8.55839e-05	-0.00186907	-0.000638371	0.000417442	-10.286	-0.178521	0.192337	-1.2898	-0.232289	0.237504	0.187242	0.000263997	0.000152826	0.014189	0.0043088	0.0184978	0.187806	0.241745	-0.00236878	7.2397e-05	-0.000822331	0      	0.005  	272.099
1.688017e+00      	29.6787	7.21881	7.21517	144.436	144.434	8.46551e-05	0.000109182	1.59025	1.53815	0.0990195	0.0119926	3.0142e-05	0.000519085	0.000118934	-0.00182406	-0.000634671	0.000417442	-9.43874	-0.176565	0.220343	-1.39088	-0.253349	0.265216	0.185654	0.000296775	0.000145236	0.0149115	0.00482045	0.019732	0.188383	0.244989	-0.00233296	7.23974e-05	-0.000800852	0      	0.005  	272.099
1.738017e+00      	30.1706	7.21883	7.21529	144.436	144.434	8.46562e-05	0.000117336	1.59025	1.53594	0.117798	0.0119923	3.1212e-05	0.000540761	0.000159008	-0.00177818	-0.000632409	0.000417441	-8.86877	-0.174673	0.247742	-1.47684	-0.271893	0.291023	0.184205	0.000330337	0.000138451	0.0155997	0.00538272	0.0209824	0.188926	0.24803	-0.00229956	7.23982e-05	-0.000781117	0      	0.005  	272.099
1.788017e+00      	30.6389	7.21886	7.2154 	144.436	144.434	8.46577e-05	0.000126922	1.59025	1.53335	0.137346	0.0119921	3.24568e-05	0.000566285	0.000206197	-0.00173186	-0.000631454	0.000417441	-8.38961	-0.172842	0.274513	-1.54938	-0.288165	0.315048	0.182864	0.000364674	0.000132288	0.0162631	0.00598619	0.0222492	0.189444	0.250919	-0.00226802	7.23993e-05	-0.000762731	0      	0.005  	272.099
1.838017e+00      	31.0857	7.21888	7.21552	144.436	144.434	8.46599e-05	0.000138006	1.59025	1.53036	0.157453	0.0119918	3.38775e-05	0.000595777	0.000260843	-0.00168531	-0.000631685	0.000417441	-7.95146	-0.17107	0.30063	-1.6102	-0.30241	0.337399	0.181622	0.000399772	0.000126662	0.0169041	0.00661183	0.0235159	0.18994	0.25367	-0.00223813	7.24008e-05	-0.000745534	0      	0.005  	272.099
1.888017e+00      	31.5122	7.2189 	7.21563	144.436	144.434	8.46627e-05	0.000150646	1.59025	1.52696	0.177933	0.0119916	3.54728e-05	0.000629315	0.000323238	-0.0016387	-0.000632988	0.000417441	-7.54094	-0.169356	0.326074	-1.66089	-0.314854	0.358174	0.180472	0.00043561	0.000121514	0.0175233	0.00723351	0.0247569	0.190415	0.256292	-0.00220978	7.24028e-05	-0.000729429	0      	0.005  	272.099
1.938017e+00      	31.9192	7.21892	7.21574	144.436	144.434	8.46663e-05	0.000164892	1.59025	1.52316	0.198624	0.0119914	3.7239e-05	0.000666937	0.000393641	-0.00159214	-0.000635257	0.00041744	-7.15392	-0.167699	0.350828	-1.7028	-0.325701	0.377467	0.179413	0.000472169	0.000116795	0.0181212	0.00782069	0.0259419	0.190869	0.25879	-0.00218289	7.24054e-05	-0.000714339	0      	0.005  	272.099
1.988017e+00      	32.3075	7.21894	7.21585	144.436	144.434	8.46707e-05	0.00018079	1.59025	1.51894	0.219382	0.0119912	3.91703e-05	0.000708646	0.000472272	-0.00154575	-0.000638395	0.00041744	-6.78858	-0.166097	0.374879	-1.73715	-0.335134	0.395371	0.178441	0.000509426	0.000112463	0.0186979	0.00834149	0.0270393	0.191303	0.261168	-0.00215739	7.24085e-05	-0.000700194	0      	0.005  	272.099
2.038017e+00      	32.6778	7.21895	7.21596	144.436	144.434	8.46761e-05	0.000198377	1.59025	1.51433	0.240081	0.011991	4.12592e-05	0.000754417	0.000559327	-0.00149961	-0.000642312	0.00041744	-6.44369	-0.164549	0.398217	-1.76498	-0.343316	0.411975	0.177552	0.000547362	0.00010848	0.0192537	0.00876596	0.0280197	0.191718	0.263431	-0.00213322	7.24124e-05	-0.00068693	0      	0.005  	272.099
2.088017e+00      	33.0308	7.21897	7.21607	144.436	144.434	8.46825e-05	0.000217686	1.59025	1.50931	0.260611	0.0119909	4.34965e-05	0.000804198	0.000654975	-0.00145379	-0.000646922	0.00041744	-6.11814	-0.163052	0.420836	-1.7872	-0.350396	0.427366	0.176744	0.000585954	0.000104814	0.0197891	0.00906879	0.0288579	0.192114	0.265585	-0.00211029	7.2417e-05	-0.000674487	0      	0.005  	272.099
2.138017e+00      	33.3673	7.21898	7.21617	144.436	144.434	8.469e-05	0.000238747	1.59024	1.50389	0.280875	0.0119908	4.58721e-05	0.000857914	0.000759359	-0.00140833	-0.000652149	0.000417439	-5.8109	-0.161605	0.442732	-1.8046	-0.356503	0.441627	0.176014	0.000625182	0.000101434	0.0203046	0.00923092	0.0295355	0.192493	0.267634	-0.00208855	7.24224e-05	-0.000662807	0      	0.005  	272.099
2.188017e+00      	33.688 	7.219  	7.21628	144.436	144.434	8.46988e-05	0.000261582	1.59024	1.4981 	0.300789	0.0119907	4.83746e-05	0.00091547	0.000872603	-0.0013633	-0.000657922	0.000417439	-5.52098	-0.160208	0.463905	-1.81787	-0.361756	0.454842	0.175358	0.000665022	9.8313e-05	0.0208006	0.0092402	0.0300408	0.192854	0.269583	-0.00206793	7.24287e-05	-0.000651838	0      	0.005  	272.099
